Position,"Track Name",Artist,Streams,URL
109,"Needed Me",Rihanna,286688,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
110,"Me Espera",Sandy,285989,https://open.spotify.com/track/4xHkRNzzHtj3O3Z1pjYWRC
111,"Slumber Party","Britney Spears",284151,https://open.spotify.com/track/13b6wMokwvtowRHoIh7mMa
112,"The Mack",Nevada,279587,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO
113,"Sentimento Louco - Ao Vivo","Marília Mendonça",275322,https://open.spotify.com/track/5YdC74tZejyq3vurDOLFYz
114,"Too Good",Drake,274044,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
115,"De Buenas","Lucas Lucco",272913,https://open.spotify.com/track/4NpFX0f0GfJgy92c9ypVxk
116,"Party Monster","The Weeknd",270925,https://open.spotify.com/track/4RhGCDt69efGdC1SxJRI5r
117,PILLOWTALK,ZAYN,267964,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
118,"7 Years","Lukas Graham",267940,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
119,"Into You","Ariana Grande",264579,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0
120,"Regime Fechado - Ao Vivo","Simone & Simaria",261919,https://open.spotify.com/track/6UZJOc2HBrTp9DYfir9N8n
121,Partiu,"Mc Kekel",259307,https://open.spotify.com/track/1LTxGBL6yKtfmW3K8EvbSY
122,"Kill Em With Kindness","Selena Gomez",256986,https://open.spotify.com/track/7KxhSJOYiqCDclXDBNlFSZ
123,A-YO,"Lady Gaga",253680,https://open.spotify.com/track/6FopJmIHgp2ADIHEDrJixZ
124,"Sou eu",Ludmilla,248881,https://open.spotify.com/track/1Tn0msQvQMbD6woO9VnEG3
125,"Deixa a Gente Quieto - Ao Vivo","João Bosco & Vinicius",248552,https://open.spotify.com/track/4PNi30UilK0CZi2z9wegMQ
126,"Would I Lie To You - Radio Edit","David Guetta",245626,https://open.spotify.com/track/4PdJSsESm34djLfBde9Pr2
127,"What Do You Mean?","Justin Bieber",245046,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
128,"Dia, Lugar e Hora","Luan Santana",242580,https://open.spotify.com/track/0bAtYUcHyGlOj5R3eNjHhA
129,"Duvido Você Não Tomar Uma - Ao Vivo","Simone & Simaria",242524,https://open.spotify.com/track/6S8yTw0KfidwuAq5Y6Bygj
130,"DUELE EL CORAZON","Enrique Iglesias",241134,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
131,Chandelier,Sia,240739,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
132,"Saudade do Meu Ex - Ao Vivo | Acústico","Marília Mendonça",238955,https://open.spotify.com/track/5ZCwyAL9zbEJVmmNQwt9lE
133,"Juju On That Beat (TZ Anthem)","Zay Hilfigerrr",237370,https://open.spotify.com/track/1lItf5ZXJc1by9SbPeljFd
134,Faded,"Alan Walker",233737,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
